"","state","commod1","n"
"848","South Dakota","Silver",192
"849","South Dakota","Sulfur-Pyrite",8
"850","South Dakota","Tantalum",3
"851","South Dakota","Tellurium",1
"852","South Dakota","Tin",61
"853","South Dakota","Tungsten",47
"854","South Dakota","Uranium",212
"855","South Dakota","Zinc",3
"856","Tennessee","Aluminum",21
"857","Tennessee","Chromium",1
"858","Tennessee","Cobalt",1
"859","Tennessee","Contained or Metal",1
"860","Tennessee","Copper",10
"861","Tennessee","Gold",124
"862","Tennessee","Iron",557
"863","Tennessee","Lead",31
"864","Tennessee","Lithium",1
"865","Tennessee","Manganese",138
"866","Tennessee","Mercury",1
"867","Tennessee","Metal",3
"868","Tennessee","Oil Shale",1
"869","Tennessee","Pigment",1
"870","Tennessee","REE",2
"871","Tennessee","Silica",82
"872","Tennessee","Sulfur-Pyrite",2
"873","Tennessee","Thorium",3
"874","Tennessee","Titanium",9
"875","Tennessee","Uranium",101
"876","Tennessee","Zinc",113
"877","Tennessee","Zirconium",5
"878","Texas","Aluminum",6
"879","Texas","Antimony",1
"880","Texas","Arsenic",2
"881","Texas","Beryllium",4
"882","Texas","Bismuth",2
"883","Texas","Chromium",1
"884","Texas","Coal",1
"885","Texas","Contained or Metal",2
"886","Texas","Copper",212
"887","Texas","Gold",34
"888","Texas","Iron",98
"889","Texas","Lead",100
"890","Texas","Magnesite",13
"891","Texas","Manganese",35
