"","time","latitude","longitude","depth","mag","magType","gap","dmin","rms","id","updated","place","type","horizontalError","depthError","magError","locationSource","magSource"
"103","2021-12-06T22:35:55.237Z",-48.4132,31.4956,10,5.2,"mww",52,15.604,0.99,"us6000g9t5","2022-02-12T23:06:17.040Z","south of Africa","earthquake",10.2,1.7,0.083,"us","us"
"104","2021-12-06T06:30:48.660Z",-2.7621,-77.1961,10,5.1,"mb",126,2.401,0.56,"us6000g9ew","2022-02-12T23:06:11.040Z","113 km ESE of Macas, Ecuador","earthquake",8.9,1.8,0.025,"us","us"
"105","2021-12-06T04:19:45.443Z",-28.8418,-175.8951,10.93,5.6,"mww",56,1.821,0.92,"us6000g9e3","2022-02-12T23:06:09.040Z","Kermadec Islands region","earthquake",9.3,3.1,0.069,"us","us"
"106","2021-12-06T00:55:41.189Z",-27.7999,74.007,10,5.5,"mww",35,10.407,0.67,"us6000g9d9","2022-02-12T23:06:08.040Z","Mid-Indian Ridge","earthquake",9.3,1.8,0.061,"us","us"
"107","2021-12-05T21:51:09.540Z",-25.3012,-68.9679,95.32,5.1,"mww",57,1.466,0.93,"us6000g9c2","2022-02-12T23:06:07.040Z","153 km E of Taltal, Chile","earthquake",5.5,3.6,0.052,"us","us"
"108","2021-12-05T18:26:26.141Z",-59.8295,-29.4386,10,5.6,"mww",54,6.756,0.88,"us6000g9bb","2022-02-12T23:06:05.040Z","South Sandwich Islands region","earthquake",4.4,1.8,0.053,"us","us"
"109","2021-12-05T17:46:38.509Z",-42.4349,-83.5103,10,5.1,"mww",53,8.607,1.11,"us6000g9b7","2022-02-12T23:06:05.040Z","West Chile Rise","earthquake",10.1,1.8,0.068,"us","us"
"110","2021-12-05T09:24:25.856Z",-15.0842,-173.1111,10,5.1,"mb",64,1.738,0.78,"us6000g98x","2022-02-12T23:06:01.040Z","121 km NE of Hihifo, Tonga","earthquake",8.1,1.9,0.077,"us","us"
"111","2021-12-05T07:45:05.159Z",-21.6612,-173.7688,10,5.3,"mww",45,8.445,0.7,"us6000g97y","2022-02-12T23:06:00.040Z","127 km ESE of ���Ohonua,","earthquake",9.3,1.8,0.093,"us","us"
"112","2021-12-05T02:14:24.831Z",29.2845,129.501,10,5.1,"mb",83,2.364,0.88,"us6000g96i","2022-02-12T23:05:57.040Z","101 km N of Naze, Japan","earthquake",6.7,1.8,0.044,"us","us"
"113","2021-12-05T01:10:56.959Z",-1.9016,140.5378,12.95,5.3,"mww",26,0.631,0.88,"us6000g962","2022-02-12T23:05:56.040Z","72 km NNW of Jayapura, Indonesia","earthquake",6.3,2.4,0.075,"us","us"
